,username,comment,date,likes
45,@roquitoroque7198,That was very humiliating to be called out by the Chief Executive.,il y a 4 mois,"1 mention ""J'aime"""
46,@samcoiro2809,I wish we had a President like him!!!!!!!!!!!!!,il y a 1 an,"2 ""J'aime"""
47,@t-bonesteak1502,"Don’t blame jim, blame whoever hired him",il y a 8 mois,"4 ""J'aime"""
48,@Samiur_Rahman,"""You're a rude terrible person. You shouldn't be working for CNN""

- Donald Trump, 2018",il y a 2 ans,"1,5 k ""J'aime"""
49,@beatsmithx1090,I'm not a trump guy but that gave me goosebumps,il y a 3 ans,"2 ""J'aime"""
50,@user-ts9uk9kj3z,Why did the journalist keep asking on a bunch of topics? Were he ever aware of depriving others' chances of raising a question? It's a press conference not a one-on-one interview. Media today are loosen from norms and usually lure people into their forged stories.,il y a 2 ans,"1 mention ""J'aime"""
51,@c1arex,I like how both the left and right can come together in this comments section and agree that reporter was a piece of work,il y a 11 mois,"2 ""J'aime"""
52,@gregfehlinger9527,My husband came legally from Canada. Cost us thousands. Takes years to do. The amount of mistakes the USA has made along the way is insane. Information is limit and every branch along the way does not know much about the next step. It’s a nightmare,il y a 3 ans,"3 ""J'aime"""
53,@breadspaghetti4216,"""I think you should let me run the country - you run CNN and honestly if you did it well, your ratings would be much better.""
Who could've seen this coming!",il y a 11 mois,"20 ""J'aime"""
54,@craftyranger3717,“Trump attacks CNN reporter” seems more like a disagreement/argument to me,il y a 3 ans,"1,6 k ""J'aime"""
55,@albertaguirre7278,"What a boss, I can't believe Americans can't see this in the president and instead elect a crooked career politician",il y a 2 ans,"1 mention ""J'aime"""
56,@noi5emaker,All leaders need to be questioned and challenged.,il y a 3 ans,"2 ""J'aime"""
57,@global4508,I never imagined saying this but I miss Trump after experiencing this downhill since Biden,il y a 1 an,"3 ""J'aime"""
58,@ecbighitters,"""C'mon, hurry up!"" 
(Whistles and uses his hands to hurry him)

Does anyone not realize that Acosta doesn't even ask Biden questions? You know why? Because once Trump was gone CNN said, ""no more need for you"" and he was reassigned to certain completely different.",il y a 2 ans,"17 ""J'aime"""
59,@Newtruck99,I remember watching this live. It was so awesome,il y a 10 mois,"51 ""J'aime"""
60,@TheBlackMage3,"I don't like Trump, but this reporter deserved this. He was acting rude. Imagine the reaction if he had antagonized any other president in this way.",il y a 4 ans,"1,3 k ""J'aime"""
61,@aguilarbianca501,"""That's enough, put down the mic"" Trump gives me life",il y a 2 ans (modifié),"28 ""J'aime"""
62,@marcomelendez2467,"As a person living in Central America, its tough over here. However, I completely agree with Trump here since they tried to enter illegally",il y a 2 ans,"52 ""J'aime"""
63,@amberanderson528,Trump calling someone else rude is out of this world.,il y a 1 an,"1 mention ""J'aime"""
64,@sasanmirzai1535,can not help it but Mr president won it so effortlessly.That is why I like him.He is direct and upto the point unlike politicians,il y a 3 ans,"40 ""J'aime"""
65,@junkim2789,"I don't see the problem here. Trump had better points and won the argument, and reporter constantly interrupted him. That reporter just made himself look foolish",il y a 1 an,"15 ""J'aime"""
66,@atulagl2008,At 70+ Trump definitely has more energy to put than this guy...,il y a 4 ans,"1,6 k ""J'aime"""
67,@cynicallyclash,when trump starts walking away from his podium slowly,il y a 2 ans,"10 ""J'aime"""
68,@mikeshirleyforever,"That reporter loves the sound of his own voice, doesn't he.",il y a 2 ans,"13 ""J'aime"""
69,@rogermiller4929,At last. A leader who is exposing liars.,il y a 3 ans,"1 mention ""J'aime"""
70,@scrpr3961,I still can't fully believe this guy was the President of the world biggest country somehow,il y a 1 an,"1 mention ""J'aime"""
71,@yourjai,"What Trump said is Actually right.

These type of Reporters are the reason why he won.",il y a 3 ans (modifié),"603 ""J'aime"""
72,@rezafardadmanesh9417,The way the reporter talks to the president was impolite like an investigator,il y a 2 ans,"7 ""J'aime"""
73,@jackmullaney4569,Trump acts like a school teacher when he tells the guy to sit down,il y a 3 ans,"10 ""J'aime"""
74,@rl5579,"In other words; ""How dare you ask a question and expect an honest answer?""",il y a 1 an,"2 ""J'aime"""
