,username,comment,date,likes
219,@fimmytom854,I don't understand he did not even attack the reporter?,il y a 8 mois,"1 mention ""J'aime"""
220,@Endorion_YTC,I always love watching this. It's always a reminder how terrible of a president Biden is right now.,il y a 1 an,"1 mention ""J'aime"""
221,@user-py2lu9hk4d,"""""The way you treat people are horrible  -  you should be very ashamed""""
TRUTH TELLING  -  
Testifying, draining, EXPOSING and DISCLOSING it",il y a 12 jours,
222,@MichaelWright-qu6ou,That reporter is like a child taking up all of the teachers time,il y a 3 ans,"177 ""J'aime"""
223,@ethanstube5087,That's the man!,il y a 2 ans,"12 ""J'aime"""
224,@mgmodp8966,This guy deserve the UFC BMF belt!,il y a 3 ans,
225,@denditaegipionedijendepowi713,You hear this man saying it’s  enough No more interview from him .He’s banned for sure.,il y a 9 mois (modifié),
226,@robertl248,This is why I love Trump he has no problem with telling you how it is and that is what we need as a president.,il y a 3 ans,
227,@DMay-xs7mw,"He did not attack him. He told him his opinion. He looked ""attacked""!",il y a 1 an,
228,@dreaMakerOne,"Well, I don't like Trump but he's totally right here",il y a 2 ans,"29 ""J'aime"""
229,@deenasharise4009,"President Trump will not let the disgusting media push him around! 

LOVE IT",il y a 3 ans,"2 ""J'aime"""
230,@MsCelmusic,A real Patriot,il y a 3 ans,"2 ""J'aime"""
231,@shuddupeyaface,Leaders must be questioned.,il y a 1 an,
232,@Irishgui83,"It's so amazing that he's gone. And now after the disastrous performance of his picks for the midterms, we all know he has little chance of ever being being voted into national office again. Even his own are turning on him as the right and far right always do in the end.",il y a 11 mois (modifié),
233,@jaymilan215,"this tittle is wrong , the reporter was so disrespectful he just couldn’t stop talking smh so ignorant",il y a 1 an,"1 mention ""J'aime"""
234,@mohamednuur3887,I think he didn’t realize that he was talking to the president,il y a 4 ans,"397 ""J'aime"""
235,@tomx6543,"""You are a rude, terrible person""

Hold on, Donnie, let me get a mirror, then you can say it over and over again.",il y a 2 ans,"26 ""J'aime"""
236,@user-cj7dv2kc6d,That one was a classic.  So funny.,il y a 3 mois,
237,@jesse8219,I have never seen anyone interrogate biden like this,il y a 1 an,
238,@divyeshmirajkar1222,"After seeing this,I can't believe that there is just a little difference between the age of Biden and Trump.",il y a 2 ans,"2 ""J'aime"""
239,@clayjulie792,I MISS this President SO MUCH!!,il y a 1 an,
240,@charliedallachie3539,Every other country has immigration laws...we’re not allowed to have ours?,il y a 3 ans,"17 ""J'aime"""
241,@geetrajasthanedu,CNN should be proud of such a daring and loyal employe who dares to question for the right of people infront of everyone...and even dose not care of his job..,il y a 3 ans,
242,@shubhendudas2623,hope our beloved pm should also have such guts,il y a 2 ans,"2 ""J'aime"""
243,@maryhooper786,He was a strong leader,il y a 8 mois,"4 ""J'aime"""
244,@agukamubitekerezotv6055,Great content you deserve more views keep it up,il y a 3 ans,
245,@willk8734,He didn’t attack anyone. He spoke the truth,il y a 1 an,
246,@sushmas5936,The reporter was indeed rude and disrespectful though.,il y a 2 ans,"81 ""J'aime"""
247,@jw362,"Trump calling someone a rude, terrible person? Every word out of his mouth is either a lie or a projection—every word.",il y a 1 an,"1 mention ""J'aime"""
248,@randomguy-fy4nr,"he calls other people rude and terrible, yet he is the very same hypocrite who dont give other people a chance to speak or voice out their opinion",il y a 2 ans,
249,@Anonymous-pw5kr,I really hope he doesnt run again next year. Im 40 and during his time in office he somehow segregated this country almost as bad as the 60's. What an embarrassment of a human being. Bullied everyone that didnt agree with everything he said.,il y a 11 mois,
250,@scotts1356,Look at the difference between these press conferences and Bdens press conferences. INCREDIBLE. ABSOLUTELY INCREDIBLE.,il y a 2 ans,"5 ""J'aime"""
251,@seanvandermerwe3409,A president every country needs,il y a 11 mois (modifié),
252,@mutthulakshmi1730,Where did trump attack? He was just stating the truth,il y a 4 ans,"583 ""J'aime"""
253,@a2zfunbegins273,"When the debate is lost, slander becomes the tool of the loser",il y a 1 mois,
254,@joshlonon2614,Aww I love this clip. Trump slaps him down at every point.,il y a 2 ans,"2 ""J'aime"""
255,@bunehmwelwa6214,The reporter only wanted to irritate Donald,il y a 1 an,"1 mention ""J'aime"""
256,@rajnipul3488,"The funny lines""you are a rude,terrible person"".  That was cute",il y a 3 ans,
257,@toddmathis7484,Some people just don't know when to shut up.,il y a 3 mois (modifié),"1 mention ""J'aime"""
258,@bate1199,"Trump: sit down that's enough
Reporter: keeps standing up. Mr Trump",il y a 3 ans,"25 ""J'aime"""
259,@newyorkersalesmanjerry2318,This is so so so so excellent  speech,il y a 1 an,
260,@piettefrank,When The con man is not facing a softball question from FOX. He just melts down and isn’t able to answer.,il y a 2 ans,"2 ""J'aime"""
261,@universallife681,"If this reporter was in India, he would be in jail.",il y a 3 mois,"2 ""J'aime"""
262,@Hsana41,Trump and reporters is always a deadly combination,il y a 2 ans,
263,@silencz1,Reporter rudely attacks president and wont take no for an answer how about that for a headline,il y a 6 mois,"2 ""J'aime"""
264,@ArikHarv,"""They werent actors. You think they were actors? They didn't come from Hollywood.""
 hilarious",il y a 3 ans,"32 ""J'aime"""
265,@hyenico,Reporters are not reporting if they keep on asking provocative questions until they get the answers they want to hear. Have to agree with Trump on this even though I'm not his fan,il y a 2 ans,"1 mention ""J'aime"""
266,@shreyas-mq4yd,Full respect to Trump for this one!,il y a 2 semaines,"2 ""J'aime"""
267,@rextro4799,He is just reusing the line that someone said to him.,il y a 1 an,
268,@countryroadstakemehome,I love Trump. He's a realist.,il y a 1 an,"11 ""J'aime"""
269,@premsun,Can someone even dare to ask the current president in this manner? Just asking ..,il y a 11 mois,
270,@rossnorval862,I'm surprised security never flung him out,il y a 2 ans,"116 ""J'aime"""
271,@Cynthia-wz1kb,My parents were immigrants from India. They came into the US legally and have been in this country for years and JUST RECENTLY got their citizenship. They've gone through so much to get to this point. Really?  Build that freaking wall.,il y a 3 ans,"1 mention ""J'aime"""
272,@g-urts5518,Trump calling someone else a rude an terrible person is just hilarious. He has no leg to stand on,il y a 2 ans,
273,@Noquemacuh,I miss him,il y a 1 an,
274,@duncanboyf4175,Briliant. Well done don.,il y a 1 an,"3 ""J'aime"""
275,@ashively1,Well done Mr. President!,il y a 1 an,"1 mention ""J'aime"""
276,@poopyfacetomatonose741,“Trump attacks CNN reporter” ️ Wow he really left him bloody and bruised,il y a 4 ans,"189 ""J'aime"""
277,@georgesouthwick7000,Trump calling someone rude is like a lion telling a Tiger how viscous they are.,il y a 11 mois,
278,@007lifestyle2,Trump is boss status . “Sit down enough your done”,il y a 1 an,
279,@clarkecronin5506,And there it is. The nerve gets pinched & he can handle it. Guess he didn't like answering questions of truth. Authoritarian full blown response from the Orange Pumpkin. Wow. Who's the rude one.,il y a 1 an (modifié),
280,@justsomecoolprayingmantisd6422,"Media treats Biden like royalty compared to trump, and Trump handled things a lot better.   Brandon is so annoying to listen to, and also Brandon gets a list of reporters names and questions beforehand. Makes me sick we have a incompetent president now",il y a 1 an,
281,@Allbetter435,Rude from the start . Never let’s the reporter finish then interrupts  and then lies .,il y a 2 mois,
282,@doctorbad,"Mistake in the video title. He didn’t attack a reporter, he attacked Jim Acosta.",il y a 2 ans,"60 ""J'aime"""
283,@lyndagiedd2104,He's for real in America just isn't used to it anymore the Cornerstone of the foundation of a real America for those who remember🇺🇸,il y a 2 ans,"2 ""J'aime"""
284,@itto1282,I miss this legend,il y a 1 an,"2 ""J'aime"""
285,@paulallen3665,Sigma rule #69: Insult the media,il y a 1 an,
286,@davidnichol6282,At least Trump has the strength of character to stand up to the press. On occasions Biden just walks out in front of the media.,il y a 1 an,
287,@thebeginning2595,Life hack- How you feel about someone is how you reflect on your own behavior.,il y a 1 an,
288,@billbertboyce324,0:37 I completely agree with that,il y a 2 ans,"23 ""J'aime"""
289,@sammybeck7794,When he air brushes his face with Dorito dust he always seems to miss around his eyes.,il y a 2 ans,"8 ""J'aime"""
290,@kingstonperez-2484,The guy shouldn't have interrupted Trump but that attitude Trump gave him was uncalled for so I think they are both in the wrong,il y a 5 mois,"2 ""J'aime"""
291,@nikname5910,this guy is a boss now you have biden he forget his lunch 30min after eating,il y a 1 an,"2 ""J'aime"""
292,@ericdietz2605,Man I miss him,il y a 1 an,"1 mention ""J'aime"""
293,@riverday9131,At least you have a Chance to challenge or even attack your president verbally.,il y a 11 mois,
294,@adam-iy5oy,"nobody:
trump's finger:",il y a 3 ans,"6,3 k ""J'aime"""
295,@edm8777,That mic whip was beautiful,il y a 3 ans,
296,@weronikapiotrkowska6757,Well done Trump finally a President who says what he thinks.,il y a 3 ans,"9 ""J'aime"""
297,@isolemayian6181,"""that is enough""",il y a 1 an,"1 mention ""J'aime"""
298,@Daniel-id6le,Loved this!,il y a 1 mois,
299,@wolfy9549,"Reporter: Ugh Mr. Pr- 

Trump: SIT TF DOWN",il y a 1 an (modifié),
300,@davebancos,This would’ve been 10x better if he just went off and said ”Oh. I’M the rude one?!”,il y a 2 ans (modifié),"83 ""J'aime"""
301,@garlicbreathcomedy5670,"I did that power-pose @1:39 yesterday at the supermarket.
Happy to say it worked at I got a refund on my unpopped popcorn",il y a 1 an,
302,@nigelsensible807,"If only Jim had said "" what will you do when you lose the 2020 election""?",il y a 2 ans (modifié),"1 mention ""J'aime"""
303,@TheRaptorWranglerCreates,"It’s called “Attacked” for Trump.
It’s called “nothing ever happened” for anybody else.",il y a 11 mois,"1 mention ""J'aime"""
304,,"Trump only wants ""those people"" for the companies, not to better their lives. He only wants the people who can afford to come legally, both financially and all other things considered.",il y a 1 mois (modifié),"1 mention ""J'aime"""
305,@susiestone5644,How come Jimmy or CNN has never acted this way with Brandon?,il y a 1 an,
306,@rodg2218,"Do not forget the word ""respect"" at all times.",il y a 3 ans,"75 ""J'aime"""
307,@benjaminchew36,"When your CNN channels are not releasing their latest news update, you get frustrated .
When you get frustrated, your work suffers.
When your work suffers, you interview the wrong man with the wrong question.
When you interview the wrong man with the wrong question, you gets the label of being a horrible and rude person.",il y a 3 ans,
308,@freedomfighter4830,They always keep coming with shenanigans to Trump! He handle it very well like a man!,il y a 2 ans,"8 ""J'aime"""
309,@Nyra890,i kinda feel bad for the reporter. Who knows if he lost his job,il y a 1 mois,"1 mention ""J'aime"""
310,@xsydor26,I love how the reporter just keeps coming back for more and more and more ...,il y a 2 ans,"1 mention ""J'aime"""
311,@tim5111,This guy!,il y a 1 an,
312,@antoniokim8033,“They weren’t actors” dang gg lol,il y a 3 ans,"742 ""J'aime"""
313,@thethirdeye5850,I love this!,il y a 2 ans (modifié),"6 ""J'aime"""
314,@sini3445,Trumps bodylanguage tells you everything. I´ve lived with narsissists long enough to recognize one. They always leaves the other person humiliated and carrying guilt which was never theirs.,il y a 6 mois,"1 mention ""J'aime"""
315,@Legogenius007,This aged well,il y a 5 mois,
316,@seanlim222,"The reporter wasn't giving any sort of respect to trump whatsoever. No matter how crazy/cynical trump may be, it's always rude to keep on talking without letting others have a turn, just shows how bad your brought up is.",il y a 2 ans,"1 mention ""J'aime"""
317,@Armyfortrump,Get him Mr President!,il y a 1 an,"1 mention ""J'aime"""
318,@JapDaZomby,I actually agree with Trump on this one: that guy is super rude and can’t let go of the questioning.,il y a 4 ans,"30 ""J'aime"""
319,@traag7716,I miss OUR President Trump! A real President!,il y a 2 ans,"1 mention ""J'aime"""
320,@vincentciliberti5026,Wondering what makes  Potus so upset.,il y a 2 ans,
321,@ConservativeAnthem,"""Jim"" decides to run the entire news conference.",il y a 4 mois,"1 mention ""J'aime"""
322,@aknaruto87,Imagine trump as a teacher. I’d be skipping his class every week Monday-Friday or transfer schools. If he were an employee of a company I worked with id quit.,il y a 1 an,"1 mention ""J'aime"""
323,@tonylove4800,He has the vocabulary of a 10-year-old,il y a 1 an,
324,@Xclub40X,"Legend had it, those migrants were actually paid actors by CNN",il y a 3 ans,"212 ""J'aime"""
325,@chadbrisco4042,I'd laugh if the next person he called on started talking about something Trump didn't like. Lol.,il y a 1 an,
326,@anitamedic2339,Love him!,il y a 1 an,"1 mention ""J'aime"""
327,@angelvasquez5066,How is he attacking? I didn’t see anything wrong with him.,il y a 1 an,
328,@bostoncityofchampions6581,"No one knows ""rude and terrible"" like the Trumpster. Of course, Sean Hannity is NEVER rude and terrible.",il y a 1 an,
329,@Antoine-gx4yl,"If it was just for this moment, i would votz for him",il y a 11 mois,
330,@exploreexostanexoandsuperj8096,"“Let me run the country, you run CNN” LOL",il y a 3 ans,"73 ""J'aime"""
331,@twliteman2334,He loves to side track us as much as possible,il y a 1 an,
332,@mynameisnotkinsley7061,He just really fits in with his CNN family,il y a 2 ans,
333,@carawikirran,miss him,il y a 11 mois,
334,@Anudorini-Talah,This is top tier comedy right there XDDDDDDDDD,il y a 3 ans,"1 mention ""J'aime"""
335,@anubis0313,imagine trump of all people calling someone rude and treble,il y a 11 mois,
336,@LATVERIAN1,"He isn't a reporter; he's a stooge. Reporters
ask questions; they do not debate. Acosta's
such a little punk.",il y a 4 ans,"15 ""J'aime"""
337,@whatsupinchina,"without Trump in Oval office anymore, this planet loses at least 50% of its sense of humor.",il y a 1 an,"1 mention ""J'aime"""
338,@JagtarSinghRana475,I am not American but Donald trump is the president which america needs ...he is a leader of true words which is a rare incident,il y a 3 ans,"1 mention ""J'aime"""
339,@daradevil123,Nobody is gonna talk how trump kept interupting the reporter while he was asking questions?,il y a 1 an,"2 ""J'aime"""
340,@mooseyman74,I would have more respect for someone who has nuclear launch codes with him,il y a 3 ans,
341,@GameDevAras,Well said,il y a 1 an,
342,@lindatwala2977,These reporters can be annoying too and won't stop when told to,il y a 3 ans,"66 ""J'aime"""
343,@vicnaz.3888,"It's too late, but Bannn already got his present under the Christmas tree. It's not tied with pink ribbon though.",il y a 8 mois,
344,@killianmmmoore,What about implementing visas for low skilled workers? People without degrees deserve the same chances as those with degrees,il y a 3 ans,
345,@FoTwentyVlogs,"""Here we go""",il y a 11 mois (modifié),"6 ""J'aime"""
346,@denverbutler1428,Simply: AMEN BROTHER,il y a 2 ans,"5 ""J'aime"""
347,@F-22uuuu,Imagine if biden get treated like this,il y a 1 an,
348,@thor9130,Why does every country's media hate their counties,il y a 3 ans,"169 ""J'aime"""
349,@salwiser126,I can't help but love trump eventhough I am from Saudi Arabia and he has said some terrible things about my country.,il y a 3 ans,
350,@stevenkhol8485,"Hope,

Offering the truth of the election to  all Americans and the people in all over the world as well.",il y a 2 ans,
351,@theutopia777,"People who share a nation's values should be welcome, all else severely not.",il y a 1 an,
352,@yanetsmith8354,"It's odd that he never minded using illegal immigrant labor for decades. He could have helped some with their  legal papers but never did. 
I've known people who have and they don't claim to have as much money as Trump, mind you they never would because they have class as well as benevolence.",il y a 3 ans,
353,@ademkapovskic8106,"""republicans pounce"" over and over, not even asking a question, he was heckling trump and forcing his opinion on the then president",il y a 11 mois,
354,@donaewestonpiperjr.4575,Our main stream media in the United States today is an absolute joke,il y a 2 ans,"142 ""J'aime"""
355,@perfect1150,"This is called Projection.  A psychological term which means, ""The process of displacing one’s feelings onto a different person, animal, or object. The term is most commonly used to describe defensive projection—attributing one’s own unacceptable urges to another"".  The only rude, terrible person in this exchange is Trump himself.",il y a 3 ans,
356,@kriskaay,"I mean they were coming in illegally and Trump is holding his ground. Its not an ""attack"" on a CNN reporter, he clearly says it's a difference of opinion. That is considered being kind and acknowledging differences... not attacking someone.",il y a 2 ans,
357,@johnalver,I almost thought I was watching an instant messenger conversation,il y a 6 mois,
358,@jesusromero8827,I respect Donald Trump this is why we need leadership like him.,il y a 1 an,"1 mention ""J'aime"""
359,@Tom-mo5yf,"Bet almost  everyone  knows how
Who that reporter was without eaxen seeing  his face. ?",il y a 1 an,
360,@khaledbaadarani,"At that moment he lost his job. No one talks when the president says ""enough""!!!!!!",il y a 3 ans,"101 ""J'aime"""
361,@christianlisangola9383,Why are US reporters so impolite?You cannot talk to the president like that and interrupt him when he's talking,il y a 3 ans,
362,@100PercentOS2,This video was so funny.  Would make a great comedy skit.,il y a 2 semaines,
363,@messi8921,And how right he was!,il y a 1 mois,
364,@alegrecastillo,"Love you Jim Acosta, don't let him get to you!!!",il y a 2 ans,
365,@andrewdion2107,he's right,il y a 1 an,"2 ""J'aime"""
366,@stevenmoore4612,“Yeah that’s true they aren’t actors! They’re not from Hollywood!”,il y a 4 ans (modifié),"121 ""J'aime"""
367,@dunroyenterprisez,Donny J is funny ASF,il y a 3 ans,
368,@ChinaLake100,I watched this live as it happened in Draper hall at Western Michigan University,il y a 2 ans (modifié),"1 mention ""J'aime"""
369,@chrisgorszczyk5521,Social credit score. Right here in America. Arguing over its structure.,il y a 1 an,
370,@davidmatthews1710,I love Trumps backbone.......... he stands up for himself like no other president........,il y a 3 ans,
371,@B-M276,He's describing himself lol,il y a 1 an,
372,@LS-jk3fk,"Rude, annoying, interruptive reporter. He deserves to get his mic pulled from his hand.",il y a 4 ans,"22 ""J'aime"""
373,@frabe81118,its amazing that trump can barely form a sentence but claims Biden can't speak,il y a 2 ans,
374,@mariaeugenialuengoroman1365,I love mister Trump and his family.,il y a 1 an,
375,@doddsalfa,When the opposite is true,il y a 1 an,
376,@joannefruth8040,Love Trumps strength. The reporters need to shut up and sit down and listen.,il y a 3 ans,
377,@rde4017,"""You are a rude, terrible person"" - classic example of psychological deflection/projection.",il y a 11 mois,
378,@egannorton7349,I’m a Canadian and all of my friends say trump sucks. I asked then why but they can’t answer that question,il y a 4 ans,"535 ""J'aime"""
379,@-rage-blackout9145,We need Dota announcer like this.,il y a 2 ans,
380,@donvolio4089,Trump definitely won the exchange. The difference of opinion line was lethal.,il y a 1 an,
381,@magadalena3576,he is the best president as ever even l am not America but he is awesome,il y a 7 mois,"4 ""J'aime"""
382,@shipraasaini,For the very first time America has got one President who cares for the country. If he wants Americans to be employed first then what's really wrong? His main concern is putting his people first and sorry that's not racism. More respect for him as he is not supporting any 'terrorist  nation ' in the name of giving aids.,il y a 3 ans,
383,@josephnixon7786,Give that man back the mic me myself would have said if you was running the White House like a president we wouldn't be having this conversation Carrot Top,il y a 1 an,"1 mention ""J'aime"""
384,@lilsufw2608,That dude is like that kid who tries to stand up for themself,il y a 3 ans,"43 ""J'aime"""
385,@idreeskhan8885,You can tell as time goes on Trump secretly likes Acosta. Acosta has balls and is quite audacious just like Trump. Nowadays Trump even banters around with Acosta and always seems to give him the most time and picks him first,il y a 3 ans,
386,@notablesquid968,Even if you don't like Trump you have to admit he is very entertaining to watch.,il y a 2 ans,"1 mention ""J'aime"""
387,@shahrulamar5358,Mr Trump is truly missed.,il y a 1 an,
388,@elifrancoeur4602,"I don't support Trump, but the reporter was totally in the wrong here. Trump repeatedly said ""That's enough"" and was trying to get questions from other people, but the reporter continually interrupted him and the woman had to grab the microphone from him.",il y a 2 ans,"1 mention ""J'aime"""
389,@danielpupo7013,Those are the nicest words to describe Trump.,il y a 11 mois,
390,@varunk4275,Who else got this in their recommend 2 years later??,il y a 2 ans (modifié),"782 ""J'aime"""
391,@thechampionrock,I miss the candidness of DJT...,il y a 1 an,
392,@jasonpalacios9533,"Trump gots some balls   
Trump: that's enough!!! 
He is our president he runs the show !",il y a 3 ans,"1 mention ""J'aime"""
393,@MultiSasuke1990,Imagine a president acting like a baby!!!,il y a 11 mois,
394,@Enoughsenoughnomas,"Its funny when people say trump ""owns the media"";  He doesn't want to answer the question because he knows he'll have to lie so he throws a tantrum like a little 3 year old and then says ""how rude"".......and his supporters just act mind blown, like they are witnessing genius......""he throws a tantrum and says ""how rude"".....HOW DOES HE COME UP WITH THIS STUFF""",il y a 3 ans,
395,@officialdakstudios589,Bro Homie doesn’t realize who he’s arguing with,il y a 1 an,
396,@Trump...,He was just such a rude person. I can't  stand people like that,il y a 2 ans (modifié),"10 ""J'aime"""
397,@Zaltic,I miss Trump as a president. Strength and leadership is something America needs right now,il y a 1 an,
398,@ashrafchoudhry5894,That is how the media in Pakistan should be respected.,il y a 3 ans,
399,@patrickfurlong9169,They ask Biden what kind of ice cream he is eating.,il y a 9 mois,"2 ""J'aime"""
400,@Sam2.0574,Gosh I miss this so much!!!,il y a 5 mois,
401,@Homo_sAPEien,That’s ironic coming from Trump because I would describe Trump in the same way.,il y a 3 mois,"1 mention ""J'aime"""
402,@lahemlahe,1:46 I thought trump was going down and knock the reporter,il y a 3 ans,"50 ""J'aime"""
403,@JazzLowrider,"I'm not a fan of the media with their tricky questions, but Trump is not exactly honest person  so go figure",il y a 2 ans,"6 ""J'aime"""
404,@chrisdell5679,"I have bad days in 2021. But I remember I don't hear him as much anymore, and things are suddenly wonderful.",il y a 1 an,"1 mention ""J'aime"""
405,@hasbor,Why they didn't they remove him like they do to other people,il y a 3 mois,
406,@mr2nut123,"For those familiar with the programme Dad's Army, this is the US equivalent.",il y a 10 mois,
407,@CanadianMonarchist,It takes one to know one.,il y a 1 an,
408,@riametarmando2724,I'm on trumps side for the first time,il y a 3 ans,"36 ""J'aime"""
409,@ErikS-,"The president has a point here! The reporter is claiming all the time and doesnt respect that other reporters also want to ask questions.
The reporter also asks these kinds of questions to irritate Trump.",il y a 3 ans (modifié),
410,@frogtaco9591,How many times did Trump call someone else incompetent and negative? Way too many time for a president,il y a 3 ans,
411,@TheHollandHS,2:24 lol the ending of THE GUARDIAN went perfect at  the reporters head,il y a 1 an (modifié),
412,@nemanjaradojkovic7646,"This Is why Trump won again, he Is the BOSS. At 0:11 ""come on shuu"".",il y a 2 ans,
413,@PeterBornAgain,"If the President told me ""that's enough"" I think I would stop talking, common sense is it not?",il y a 2 mois,"2 ""J'aime"""
414,@Fake-rt9uk,"1:48
LOL SHE JUST SNATCHED IT OUT OF HIS HANDS LMFAO",il y a 4 ans,"494 ""J'aime"""
415,@jackjacky5729,"Love him to bits, Wish we had Trump running UK as well",il y a 3 ans,
416,@danoliver8804,What a Circus!  Highly entertaining.,il y a 8 mois,"1 mention ""J'aime"""
417,@dustinprewitt,He hurt the orange troll's feelings :(,il y a 1 an,
418,@BarrageHero,"You may not like him, but he has the Charisma to win again this year.",il y a 3 ans,"3 ""J'aime"""
419,@OmarPerez-cq7zf,"Trump should have said ""Would You Shut Up Man?""",il y a 1 an,
420,@truthseeker1181,"I love this President! He’s got guts, he is so real. CNN is a joke!!",il y a 3 ans,"60 ""J'aime"""
421,@amyma1076,Whatever it is. He is the president of the US. Those reporters should give him some respect.,il y a 3 ans,
422,@dinguschrist5276,"Not a Trump supporter, not even American but that reporter is really rude. Trump had valid points in his argument and the reporter just went on and on.
The Guardian is really insistent on hating Trump ""Rude, horrible person"" isn't an attack, it's just stating rude manners",il y a 1 an,
423,@sonicandshadowplayz,This got me lol,il y a 1 an (modifié),
424,@240plazer6,"Trump calls him I rude terrible person, and Then trump throws out an insult and refuses to talk to him.
According to trump that is the reporter being rude.",il y a 2 ans,
425,@mrnounderscore1430,"""ok just sit down""",il y a 6 mois,
426,@happygustofwind1610,I dont like trump but I dont blame him  for responding like this... I mean that reporter was just RUDE!,il y a 2 ans,"17 ""J'aime"""
427,@MinorScalesMajorFuckups,The reporter did not know when to stop. That was rude indeed. Trump did not attack him,il y a 11 mois,
428,@viantzpradz4771,Donald loves shade...!!! Its like watching Real housewives of Atlanta!,il y a 3 ans,"1 mention ""J'aime"""
429,@truthreallyupsetsmostpeopl759,I love it. And they don't listen either.  Ummmm yeah he's GREAT.,il y a 8 mois,"1 mention ""J'aime"""
430,@chrisbassartist4344,Who was being attacked here? He was right and the state of the country today shows just how right he was about everything,il y a 1 an,
431,@disneyhansonfakaosi1108,The greatest President ever to lead USA,il y a 1 mois,"3 ""J'aime"""
432,@shahzamsuleman9933,"try this on an African or Asian president, you're gone.",il y a 3 ans,"270 ""J'aime"""
433,@endlessctrl,trump being president was such a fever dream,il y a 1 an,
434,@sammy7640,I love President Trump!! He tells the truth!!,il y a 1 an,
435,@markwalker1741,"Imagine Jim Acosta as a guest for dinner. "" The Chicken noodle soup, should have used Chinese noodles not American noodles"" ...."" Ah, no the FDA has a warning against Chinese noodles. The American noodles are fine."".....(Acosta)""I have Chinese noodles in my pocket, I can improve your wife's chicken Noodle soup""....",il y a 8 mois,
436,@nicktran2753,"To be honest, most policies proposed by Trump make a lot of sense and benefit America. We have to agree that the immigrants shall come here through a legal process and legal channel. but I hope he can change his style and become less vocally offensive to his opponents. He would have been a great leader if he had shown his humble side and been diplomatic in public.",il y a 2 ans,"1 mention ""J'aime"""
437,@Geoffzilla,"Rude, terrible person insults ""rude, terrible person.""",il y a 1 an,
438,@HowardARoark,Very well said Donald !,il y a 4 ans,"16 ""J'aime"""
439,@cliffmatthews6577,Trump is Brilliant !,il y a 2 ans,"1 mention ""J'aime"""
440,@MoeMoe-oe5bi,Trump has very rounded phonetic method (in vowels) with his lips of mouth.,il y a 11 mois,
441,@jnreese83,1:43  Trump was on his way to scuffle,il y a 1 an,
442,@roquitoroque7198,I love Donald Trump. My respect to him. :-),il y a 4 mois,"2 ""J'aime"""
443,@johnpaterson4680,WELL SAID PRESIDENT TRUMP ️,il y a 11 mois,"2 ""J'aime"""
444,@AbrahamDemirel,"Well Said Trump, I’m not even your fan but I’m with the honest opinion.",il y a 4 ans,"13 ""J'aime"""
445,@matthew2008able,No fair play to him. Am not a fan of the US presidents or any goverment high up officals but fair dues and fair play call a spade a spade.,il y a 3 ans (modifié),
446,@universee3717,"I misunderstood President Trump, after seeing what's happened during presidential election, I finally firgured out that Trump was always right.",il y a 2 ans,
447,@taherzahrani201,He’s funny,il y a 1 an,
448,@animalhousesanctuary6566,I love Trump. I miss him being in the White House,il y a 7 mois,"2 ""J'aime"""
449,@shannonazzif766,"to be fair, that reporter was being pretty obnoxious",il y a 11 mois,"1 mention ""J'aime"""
450,@MegaVSable,That guy just wont stop wtf is wrong with him? Have some respect for your president,il y a 3 ans (modifié),"12 ""J'aime"""
451,@Stefan-su5wg,Putin has a special kind of treatment for impolite reporters.,il y a 2 ans,
452,@bennybronx4990,Oh how I miss this stuff,il y a 2 ans,
453,@chrispaul4088,Only In America you can do this to a President and not get “accidentally killed” Merica,il y a 1 an,"1 mention ""J'aime"""
454,@bryandass368,"I dont know why every1 hates trump.
Everything ive seen of him is just him being a normal guy and being in the right.",il y a 2 mois,"1 mention ""J'aime"""
455,@macnx3637,That's how every reporter should be.,il y a 4 mois,"3 ""J'aime"""
456,@ryantres85,"-Can I ask another question?
-That's enough.
-Ok.
And that would've been the end of it. But Acosta acted that way just to get a reaction.",il y a 4 ans,"30 ""J'aime"""
457,@angrybird5699,Trump was still talking calmly even when the reporter started raising his voice. Such a humble person he is!,il y a 3 ans,"1 mention ""J'aime"""
458,@giovannygonzalez4240,love this,il y a 3 ans,
459,@tristen224,What an embarrassment of both parties.,il y a 1 an,
460,@DomOfSin666,"I'm by no means a Trump supporter, but the reporter was constantly interupting him and being totally disrespectful. If this is what Trump has to deal with on a daily basis, then I understand why he has all this beef with news corporations.",il y a 2 ans (modifié),
461,@dannydingus3416,Well once again you might as well been looking in a mirror cuz he was talking about himself,il y a 7 jours,
462,@skoots6303,This got more views than the number of people who read Jim Acosta’s book.,il y a 4 ans,"88 ""J'aime"""
463,@TroyProutyShow,and the way Trump treats people is like he is an authoritarian,il y a 1 an,
464,@user-qc2ge6ob5q,"The disrespect he shows to the president is astounding, this only happens in the USA.  No respect whatsoever its embarrassing",il y a 2 mois,
465,@JakeRepinski9606,Oh yeah he really attacked him,il y a 1 an,"1 mention ""J'aime"""
466,@seeksvengeance8827,"I remember how we used to be so gay and fancy free, walking in parks seeing the lovely flowers our hearts were so English we loved our brothers and sisters.",il y a 3 ans,
467,@wiratjajadi,"I think you should let me run the country..You run CNN and if you did it well your ratings would be much better. That's enough. Put down the mic. Love these words, Love Donald Trump",il y a 7 mois,"3 ""J'aime"""
468,@kierstencreates958,"""Okay just sit down please""",il y a 3 ans (modifié),"45 ""J'aime"""
