username,comment,date,likes
@menghic531,"Very sad ending!   First of all, the suspect is mainly responsible for his own death.  Get out of the car and comply with the police.  You don't fight with the police, take any weapon and run. Yes, a taser can't kill you , but you mustn't take anything from the police.  What was the purpose of said action?!",3 years ago,1
@ladyslovelucas82,They woke him up told him to pull over to a parking spot and get some sleep but then he passed out again then the cops woke him up again and started questioning him. That was cut from the video.,3 years ago,1
@rogerdread38,We must always look within ourselves frist. And make the changes. Starting to show love between ourselves. Then we'll see the real changes,3 years ago,4
@ariraquel4567,They edited out alot of footage..the police were not mean to him he chose to resist arrest after approximately 40 mins of talking calmly to him,3 years ago,0
@Machinedead,"He could have just gotten away with a night in jail and maybe losing his driver's license, but he just had to resist arrest and run away with a taser (and then shoot it at the police ?? Huh ? ) , ok, that was stupid dude ! Guy nust have been really drunk or really high on drugs....",3 years ago,11
@youracherrynut442,this one's contentious but I think we can all agree that he didn't have to lose his life given that he was initially co-operating and interacting with the officer in a friendly manner,3 years ago,0
@dub3140,"The sad thing is,is he could have refused the breathalyzer.They were not sure what he was doing.They didnt suspect he was drunk at first.And they didnt catch him driver drunk either.Just parked resting.They didnt have to do anything but drive him home.Instead they chose to go this route smh.",3 years ago,0
@DarthJeremy364,seeing the comments for this video gives me hope for humanity.,3 years ago,3
@tsu8003,There's a 43 minute unedited version of the police cam that shows 41 minutes of an ordinary decent police officer doing his duty politely and courteously and 2 minutes of a criminal resisting arrest!,3 years ago,0
@BlessedIndeed1,I was pinched for DWI over 30 years ago by 2 white cops. I was polite and listened to their commands. I ran a red light and was pulled over. They were justified in pulling me over. Went to the station and met the lieutenant. A gentleman who treated me with respect. He was doing his job. Did I curse him or threaten him or his officers? No. They noted this to the judge. I still had to pay a price. Yet I am alive today to speak about it.,3 years ago,0
@bananascoconutvr3271,"And this is the attitude of so many ....shoot someone if they’ve done you wrong....if someone runs away  with your wallet/purse do you shoot them?
How you answer determines what side of humanity  you really are on .....
Awful ...and another example of why we need complete overhaul of the justice system",3 years ago,9
@JeremiahMuchangi,"Traffic offenses in some developed countries are handled by CCTV and mailed fines. 
However, a minor traffic violation like a bad light bulb is likely to get guns drawn and unnecessary interactions with multiple police units turning up in gun republic.",3 years ago,0
@SteveReason82,"If he was in Wendy’s drive thru, what was the point of checking his person? They could of simply told him that he’s  drunk and that he either needs to call for a ride home or stay the night in his car at the Wendy’s until he sobers up. Why were they trying to arrest him if he wasn’t even on the road driving?",3 years ago,0
@michaelsuder3956,I’m wondering if he had a little something on him that he shouldn’t have. A DUI isn’t a huge offense - especially when you’re just sitting passed out in a drive through,3 years ago,0
