username,comment,like,date,comment_length
unclesam8451,"Hi there Im Rashard Brooks I was sentenced to 7 years in prison for beating my KIDS I was paroled due to the covid19
I drove drunk to Wendys and passed out in the drive through line when a cop tried to arrest me for my 2nd dui I stole his taser and fired it at him because I knew I would be sent back to prisonIm a martyr now",69,2020-11-13 10:40:59.345294,340
Darell2710,Yes he made a mistake but there was no reason for the police to shoot him You could always catch him another day and give him the additional charge of having resisted arrest In the military I was taught that a firearm during peacetime is meant for protection and only discharged when there is an imminent threat towards you or the people you are protecting You are supposed to meet the escalation level attempt to deescalate and never to escalate further A taser may have been a threat as seen in the extended version of this video but not one that requires an immediate use of a firearm Furthermore shots should be made to disarm and not to kill Shooting and killing this fleeing criminal made the police the judge and the jury on that mans life If they had let him go then the law would still have caught up with him eventually Not all criminals deserve the death penalty,0,2020-11-13 10:40:59.345294,894
MrRayMac1963,For years weve seen drunk stops aired on cops where the guy runs away and they never shoot him in the back  So as wrong as Brooks was and he is very wrong this never should have got to the level of lethal force,2,2020-11-13 10:40:59.345294,217
revolutiondance1141,Imagine if the cop just said we will have to give you a ride home you cant operate your vehicle for the night But not in this day and age where all of this at the end was about money not justice but money America is not a country its a business,16,2020-11-13 10:40:59.345294,249
marcusbarnes2736,Its sad to hear that this man was shot and killed by a police officer but at the same time do not put yourself in a situation to were u going to make it harder on yourself Just corporate in the best way that u can and dont give any police officers a reason to take out their guns,0,2020-11-13 10:40:59.345294,283
GO-GO_SO-SO,I wish they would do a story on what happened to Breonna Taylor  She was an EMT shot in her own home by police during a noknock raid,26,2020-11-13 10:40:59.345294,135
jeanettehinds4253,The officer should of taken control of him from the first second Hes walking up and down telling the man to keep looking for his license Its so frustrating Theyre either putting their foot on your neck or theyre walking around like you are their best friend Just do your damn job Thats what the public wants We want you to follow procedure and then you go home and they either go home or to jail But at least all concerned still have their life,0,2020-11-13 10:40:59.345294,457
robotron17,"There may have been some confusion as to what weapon he grabbed from the other officer
Did he just grab the taser or did he also get a gun Rayshard brought this on himself",8,2020-11-13 10:40:59.345294,175
noahedmonds83,I pray for his family but just comply people its easier than losing your life over something simple,0,2020-11-13 10:40:59.345294,101
The_Fumbles,Im not saying its right but resisting arrest is never a good idea,113,2020-11-13 10:40:59.345294,67
nazariog.1155,This dude should have just complied and should have let the cops arrest him If he thought he was innocent he could have fought it in court They only hold you for 8 hrs in the drunk tank he could have just done his 8 hrs gone home and get a lawyer instead he wound up dead which is sad I pray that everyone decides to change and make the right choices for the sake of their own health and the health of others,0,2020-11-13 10:40:59.345294,416
gustavosuarez3096,We need to apply across all states similar rules of engagement as it is written under the Geneva Convention I am confident that only 90 off the entire police force does not follow abide by their states law There needs to be a rule that governs all in which officers are hold accountable the same way as in the military That way that are disciplined at the highest level in which they will comply and obey Its all about discipline and these officers do not have any,0,2020-11-13 10:40:59.345294,476
